Year,Entidad federativa,Sexo,Sexo_ Proporción plazas públicas,GeoCode,Value
2018,Aguascalientes,Hombres,De 25 a 34 años,8003001,0.801250897001129
2017,Aguascalientes,Hombres,De 25 a 34 años,8003001,0.8923398712322019
2016,Aguascalientes,Hombres,De 25 a 34 años,8003001,0.7876572873932589
2015,Aguascalientes,Hombres,De 25 a 34 años,8003001,1.00334820275434
2020,Aguascalientes,Hombres,De 35 a 44 años,8003001,1.47053346871029
2019,Aguascalientes,Hombres,De 35 a 44 años,8003001,1.44211767999687
2018,Aguascalientes,Hombres,De 35 a 44 años,8003001,1.49555233177531
2017,Aguascalientes,Hombres,De 35 a 44 años,8003001,1.4073860756186602
2016,Aguascalientes,Hombres,De 35 a 44 años,8003001,1.04252377326353
2015,Aguascalientes,Hombres,De 35 a 44 años,8003001,1.3598752182405105
2020,Aguascalientes,Hombres,De 45 a 54 años,8003001,1.60326012729926
2019,Aguascalientes,Hombres,De 45 a 54 años,8003001,1.60060787700243
2018,Aguascalientes,Hombres,De 45 a 54 años,8003001,1.6457393195244
2017,Aguascalientes,Hombres,De 45 a 54 años,8003001,1.59065067705151
2016,Aguascalientes,Hombres,De 45 a 54 años,8003001,1.06231160736095
2015,Aguascalientes,Hombres,De 45 a 54 años,8003001,1.47095133143661
2020,Aguascalientes,Hombres,De 55 a 59 años,8003001,1.51187738271047
2019,Aguascalientes,Hombres,De 55 a 59 años,8003001,1.53662095988323
2018,Aguascalientes,Hombres,De 55 a 59 años,8003001,1.6397791570933795
2017,Aguascalientes,Hombres,De 55 a 59 años,8003001,1.4086830701934798
2016,Aguascalientes,Hombres,De 55 a 59 años,8003001,0.8663125715250077
2015,Aguascalientes,Hombres,De 55 a 59 años,8003001,1.3052180068174
2020,Aguascalientes,Hombres,De 60 años y más,8003001,0.9341110491353178
2019,Aguascalientes,Hombres,De 60 años y más,8003001,0.92601968492247
2018,Aguascalientes,Hombres,De 60 años y más,8003001,0.9779884286656022
2017,Aguascalientes,Hombres,De 60 años y más,8003001,1.07621212577895
2016,Aguascalientes,Hombres,De 60 años y más,8003001,0.7656281187732639
2015,Aguascalientes,Hombres,De 60 años y más,8003001,1.15649836993843
2020,Aguascalientes,Mujeres,Total,8003001,1.1210620818871997
2019,Aguascalientes,Mujeres,Total,8003001,1.12200832457499
2018,Aguascalientes,Mujeres,Total,8003001,1.0960631949541602
2017,Aguascalientes,Mujeres,Total,8003001,0.992699590358096
2016,Aguascalientes,Mujeres,Total,8003001,0.9401334850866948
2015,Aguascalientes,Mujeres,Total,8003001,0.952028618816608
2020,Aguascalientes,Mujeres,Menores de 25 años,8003001,0.2452822167442949
2019,Aguascalientes,Mujeres,Menores de 25 años,8003001,0.266889034202811
2018,Aguascalientes,Mujeres,Menores de 25 años,8003001,0.14985437427948
2017,Aguascalientes,Mujeres,Menores de 25 años,8003001,0.261121049122018
2016,Aguascalientes,Mujeres,Menores de 25 años,8003001,0.3115701125956671
2015,Aguascalientes,Mujeres,Menores de 25 años,8003001,0.252979125228392
2020,Aguascalientes,Mujeres,De 25 a 34 años,8003001,1.02250400461144
2019,Aguascalientes,Mujeres,De 25 a 34 años,8003001,1.06677185318471
2018,Aguascalientes,Mujeres,De 25 a 34 años,8003001,0.996086803385773
2017,Aguascalientes,Mujeres,De 25 a 34 años,8003001,0.9581786503380167
2016,Aguascalientes,Mujeres,De 25 a 34 años,8003001,0.9617817025771592
2015,Aguascalientes,Mujeres,De 25 a 34 años,8003001,1.18006599455136
2020,Aguascalientes,Mujeres,De 35 a 44 años,8003001,1.5193756042082198
2019,Aguascalientes,Mujeres,De 35 a 44 años,8003001,1.4867126871105003
2018,Aguascalientes,Mujeres,De 35 a 44 años,8003001,1.54460631674062
2017,Aguascalientes,Mujeres,De 35 a 44 años,8003001,1.4139690781287495
2016,Aguascalientes,Mujeres,De 35 a 44 años,8003001,1.0533452617784995
2015,Aguascalientes,Mujeres,De 35 a 44 años,8003001,1.3874930752283503
2020,Aguascalientes,Mujeres,De 45 a 54 años,8003001,1.46466991468875
