Year,Entidad federativa,Población nacional,Población urbana,Población rural,GeoCode,Value
2020,Querétaro,,,Hombres,22,0.617500964704144
2020,Quintana Roo,,,Hombres,23,0.762954486137044
2020,San Luis Potosí,,,Hombres,24,0.726339377750688
2020,Sinaloa,,,Hombres,25,0.555649778185939
2020,Sonora,,,Hombres,26,0.670593243977274
2020,Tabasco,,,Hombres,27,0.641446041008606
2020,Tamaulipas,,,Hombres,28,0.718133436366582
2020,Tlaxcala,,,Hombres,29,0.737394343026356
2020,Veracruz de Ignacio de la Llave,,,Hombres,30,0.685164180822476
2020,Yucatán,,,Hombres,31,0.719122990489511
2020,Zacatecas,,,Hombres,32,0.693796724602412
2020,Estados Unidos Mexicanos,,,Mujeres,0,0.678465659535974
2020,Aguascalientes,,,Mujeres,1,0.6838160892174
2020,Baja California,,,Mujeres,2,0.7518588512299399
2020,Baja California Sur,,,Mujeres,3,0.724566686915948
2020,Campeche,,,Mujeres,4,0.743375281752694
2020,Coahuila de Zaragoza,,,Mujeres,5,0.7466216826386459
2020,Colima,,,Mujeres,6,0.745911802158032
2020,Chiapas,,,Mujeres,7,0.636221646656707
2020,Chihuahua,,,Mujeres,8,0.642040460028324
2020,Ciudad de México,,,Mujeres,9,0.614910827268469
2020,Durango,,,Mujeres,10,0.596640889783
2020,Guanajuato,,,Mujeres,11,0.675921339261735
2020,Guerrero,,,Mujeres,12,0.6712759101580869
2020,Hidalgo,,,Mujeres,13,0.678013585565267
2020,Jalisco,,,Mujeres,14,0.787945211783113
2020,México,,,Mujeres,15,0.658295289095922
2020,Michoacán de Ocampo,,,Mujeres,16,0.696445417293122
2020,Morelos,,,Mujeres,17,0.661724472898282
2020,Nayarit,,,Mujeres,18,0.686122694000852
2020,Nuevo León,,,Mujeres,19,0.816233424032867
2020,Oaxaca,,,Mujeres,20,0.6685905559814579
2020,Puebla,,,Mujeres,21,0.642995099711009
2020,Querétaro,,,Mujeres,22,0.622801798875116
2020,Quintana Roo,,,Mujeres,23,0.757259546943458
2020,San Luis Potosí,,,Mujeres,24,0.725767104546787
2020,Sinaloa,,,Mujeres,25,0.567399129247117
2020,Sonora,,,Mujeres,26,0.6742216369036121
2020,Tabasco,,,Mujeres,27,0.645547267762199
2020,Tamaulipas,,,Mujeres,28,0.712047110906927
2020,Tlaxcala,,,Mujeres,29,0.740036136978393
2020,Veracruz de Ignacio de la Llave,,,Mujeres,30,0.689639556169724
2020,Yucatán,,,Mujeres,31,0.722373737912211
2020,Zacatecas,,,Mujeres,32,0.695757583989243
