Year,Entidad federativa,"Violencia sexual","Lugar de la(s) agresión(es)",GeoCode,Value
2021,"Chiapas",,"Transporte público <sup>1</sup>",07,11.7355441490687
2016,"Chiapas",,"Transporte público <sup>1</sup>",07,10.3111909036505
2011,"Chiapas",,"Transporte público <sup>1</sup>",07,0.9120755925688661
2021,"Chihuahua",,"Transporte público <sup>1</sup>",08,22.887818522693703
2016,"Chihuahua",,"Transporte público <sup>1</sup>",08,20.4581437428488
2011,"Chihuahua",,"Transporte público <sup>1</sup>",08,6.015095397667399
2021,"Ciudad de México",,"Transporte público <sup>1</sup>",09,45.72751381815291
2016,"Ciudad de México",,"Transporte público <sup>1</sup>",09,52.167808524725594
2011,"Ciudad de México",,"Transporte público <sup>1</sup>",09,35.7539226942212
2021,"Durango",,"Transporte público <sup>1</sup>",10,17.6630276705901
2016,"Durango",,"Transporte público <sup>1</sup>",10,12.6620993393687
2011,"Durango",,"Transporte público <sup>1</sup>",10,1.85341781829555
2021,"Guanajuato",,"Transporte público <sup>1</sup>",11,21.8161030208208
2016,"Guanajuato",,"Transporte público <sup>1</sup>",11,16.1379105756712
2011,"Guanajuato",,"Transporte público <sup>1</sup>",11,6.3409752547307106
2021,"Guerrero",,"Transporte público <sup>1</sup>",12,17.2742770576811
2016,"Guerrero",,"Transporte público <sup>1</sup>",12,12.355273592387
2011,"Guerrero",,"Transporte público <sup>1</sup>",12,6.408067486984531
2021,"Hidalgo",,"Transporte público <sup>1</sup>",13,22.8615436293848
2016,"Hidalgo",,"Transporte público <sup>1</sup>",13,19.7707498289178
2011,"Hidalgo",,"Transporte público <sup>1</sup>",13,5.21309611238777
2021,"Jalisco",,"Transporte público <sup>1</sup>",14,31.3859811445124
2016,"Jalisco",,"Transporte público <sup>1</sup>",14,31.1446758585917
2011,"Jalisco",,"Transporte público <sup>1</sup>",14,9.36122359865773
2021,"México",,"Transporte público <sup>1</sup>",15,37.7326303070248
2016,"México",,"Transporte público <sup>1</sup>",15,37.5469647410307
2011,"México",,"Transporte público <sup>1</sup>",15,23.1391664760887
2021,"Michoacán de Ocampo",,"Transporte público <sup>1</sup>",16,14.7945758334006
2016,"Michoacán de Ocampo",,"Transporte público <sup>1</sup>",16,7.06895434974552
2011,"Michoacán de Ocampo",,"Transporte público <sup>1</sup>",16,2.73356634603349
2021,"Morelos",,"Transporte público <sup>1</sup>",17,23.202001250781695
2016,"Morelos",,"Transporte público <sup>1</sup>",17,21.0251373231066
2011,"Morelos",,"Transporte público <sup>1</sup>",17,12.3127309532221
