Year,Entidad federativa,"Jóvenes de 15 a 24 años","Jóvenes de 15 a 19 años","Jóvenes de 20 a 24 años",GeoCode,Value
2017,"Durango","En áreas menos urbanizadas",,,10,7.86750382
2022,"Guanajuato","En áreas menos urbanizadas",,,11,11.22136508
2021,"Guanajuato","En áreas menos urbanizadas",,,11,12.71494519
2020,"Guanajuato","En áreas menos urbanizadas",,,11,12.81512843
2019,"Guanajuato","En áreas menos urbanizadas",,,11,10.90952297
2018,"Guanajuato","En áreas menos urbanizadas",,,11,10.06630741
2017,"Guanajuato","En áreas menos urbanizadas",,,11,7.657277923
2022,"Guerrero","En áreas menos urbanizadas",,,12,8.34372679
2021,"Guerrero","En áreas menos urbanizadas",,,12,9.443480451
2020,"Guerrero","En áreas menos urbanizadas",,,12,9.169115982
2019,"Guerrero","En áreas menos urbanizadas",,,12,4.733140353
2018,"Guerrero","En áreas menos urbanizadas",,,12,3.574701904
2017,"Guerrero","En áreas menos urbanizadas",,,12,4.269079465
2022,"Hidalgo","En áreas menos urbanizadas",,,13,5.307599004
2021,"Hidalgo","En áreas menos urbanizadas",,,13,6.000536705
2020,"Hidalgo","En áreas menos urbanizadas",,,13,8.446399979
2019,"Hidalgo","En áreas menos urbanizadas",,,13,6.296161266
2018,"Hidalgo","En áreas menos urbanizadas",,,13,5.757714469
2017,"Hidalgo","En áreas menos urbanizadas",,,13,5.422474999
2022,"Jalisco","En áreas menos urbanizadas",,,14,4.752927327
2021,"Jalisco","En áreas menos urbanizadas",,,14,4.909562408
2020,"Jalisco","En áreas menos urbanizadas",,,14,7.003052451
2019,"Jalisco","En áreas menos urbanizadas",,,14,5.905746403
2018,"Jalisco","En áreas menos urbanizadas",,,14,4.678053022
2017,"Jalisco","En áreas menos urbanizadas",,,14,5.892142257
2022,"México","En áreas menos urbanizadas",,,15,5.544817183
2021,"México","En áreas menos urbanizadas",,,15,7.123066503
2020,"México","En áreas menos urbanizadas",,,15,5.197461255
2019,"México","En áreas menos urbanizadas",,,15,4.938332344
2018,"México","En áreas menos urbanizadas",,,15,3.930353902
2017,"México","En áreas menos urbanizadas",,,15,4.630712581
2022,"Michoacán de Ocampo","En áreas menos urbanizadas",,,16,6.370134844
2021,"Michoacán de Ocampo","En áreas menos urbanizadas",,,16,8.236422555
2020,"Michoacán de Ocampo","En áreas menos urbanizadas",,,16,9.650399511
2019,"Michoacán de Ocampo","En áreas menos urbanizadas",,,16,9.318772989
2018,"Michoacán de Ocampo","En áreas menos urbanizadas",,,16,9.566173152
2017,"Michoacán de Ocampo","En áreas menos urbanizadas",,,16,8.079603196
2022,"Morelos","En áreas menos urbanizadas",,,17,7.109465316
2021,"Morelos","En áreas menos urbanizadas",,,17,8.839490803
2020,"Morelos","En áreas menos urbanizadas",,,17,8.390489932
