Year,Entidad federativa,"Sexo","Grupos de edad en plazas del Poder judicial",GeoCode,Value
2020,"Colima","Hombres","De 25 a 34 años",8103006,0.485859065166736
2019,"Colima","Hombres","De 25 a 34 años",8103006,0.624311695249388
2020,"Colima","Hombres","De 35 a 44 años",8103006,1.1804339675695898
2019,"Colima","Hombres","De 35 a 44 años",8103006,1.06759141515065
2020,"Colima","Hombres","De 45 a 54 años",8103006,2.14004973151777
2019,"Colima","Hombres","De 45 a 54 años",8103006,2.22063778390561
2020,"Colima","Hombres","De 55 a 59 años",8103006,1.56031741443108
2019,"Colima","Hombres","De 55 a 59 años",8103006,1.18554150896271
2020,"Colima","Hombres","De 60 años y más",8103006,1.40921908044176
2019,"Colima","Hombres","De 60 años y más",8103006,1.4654765218974597
2020,"Colima","Mujeres","Total",8103006,1.0505215391565
2019,"Colima","Mujeres","Total",8103006,1.0293508637885702
2020,"Colima","Mujeres","De 18 a 24 años",8103006,0
2019,"Colima","Mujeres","De 18 a 24 años",8103006,0.08220446724096399
2020,"Colima","Mujeres","De 25 a 34 años",8103006,1.05682009649996
2019,"Colima","Mujeres","De 25 a 34 años",8103006,1.04484808147724
2020,"Colima","Mujeres","De 35 a 44 años",8103006,1.85603222345347
2019,"Colima","Mujeres","De 35 a 44 años",8103006,1.81220134228188
2020,"Colima","Mujeres","De 45 a 54 años",8103006,1.56890664261323
2019,"Colima","Mujeres","De 45 a 54 años",8103006,1.4900997748443798
2020,"Colima","Mujeres","De 55 a 59 años",8103006,0.22368276014109295
2019,"Colima","Mujeres","De 55 a 59 años",8103006,0.213434067497581
2020,"Colima","Mujeres","De 60 años y más",8103006,0.297533081631905
2019,"Colima","Mujeres","De 60 años y más",8103006,0.432039860220422
2020,"Chiapas","Total","Total",8103007,1
2019,"Chiapas","Total","Total",8103007,1
2020,"Chiapas","Total","De 18 a 24 años",8103007,0.010688366400972999
2019,"Chiapas","Total","De 18 a 24 años",8103007,0.17903159478807204
2020,"Chiapas","Total","De 25 a 34 años",8103007,0.237994565423316
2019,"Chiapas","Total","De 25 a 34 años",8103007,0.575905315609258
2020,"Chiapas","Total","De 35 a 44 años",8103007,1.8900556197048597
2019,"Chiapas","Total","De 35 a 44 años",8103007,1.70513601686163
2020,"Chiapas","Total","De 45 a 54 años",8103007,2.39097528949155
2019,"Chiapas","Total","De 45 a 54 años",8103007,1.9493659182740797
2020,"Chiapas","Total","De 55 a 59 años",8103007,1.12753699293628
2019,"Chiapas","Total","De 55 a 59 años",8103007,1.1241585537900198
2020,"Chiapas","Total","De 60 años y más",8103007,0.9751148015388169
2019,"Chiapas","Total","De 60 años y más",8103007,0.834077605411304
2020,"Chiapas","Hombres","Total",8103007,1.0030624378500799
2019,"Chiapas","Hombres","Total",8103007,1.1027826514748098
2020,"Chiapas","Hombres","De 18 a 24 años",8103007,0
2019,"Chiapas","Hombres","De 18 a 24 años",8103007,0.142497700830063
2020,"Chiapas","Hombres","De 25 a 34 años",8103007,0.29978354394467205
2019,"Chiapas","Hombres","De 25 a 34 años",8103007,0.49761597832974896
2020,"Chiapas","Hombres","De 35 a 44 años",8103007,1.48451127511695
2019,"Chiapas","Hombres","De 35 a 44 años",8103007,1.5214189111134802
2020,"Chiapas","Hombres","De 45 a 54 años",8103007,2.4162673315075094
2019,"Chiapas","Hombres","De 45 a 54 años",8103007,2.11232343098878
2020,"Chiapas","Hombres","De 55 a 59 años",8103007,1.7127475860768198
2019,"Chiapas","Hombres","De 55 a 59 años",8103007,1.4245127719918
2020,"Chiapas","Hombres","De 60 años y más",8103007,1.47683660049681
2019,"Chiapas","Hombres","De 60 años y más",8103007,1.22921822735878
2020,"Chiapas","Mujeres","Total",8103007,0.997182515214749
2019,"Chiapas","Mujeres","Total",8103007,0.9053702430370583
2020,"Chiapas","Mujeres","De 18 a 24 años",8103007,0.021257744846376995
2019,"Chiapas","Mujeres","De 18 a 24 años",8103007,0.221472978657544
2020,"Chiapas","Mujeres","De 25 a 34 años",8103007,0.180496219252265
2019,"Chiapas","Mujeres","De 25 a 34 años",8103007,0.663673773281137
2020,"Chiapas","Mujeres","De 35 a 44 años",8103007,2.24103920476881
2019,"Chiapas","Mujeres","De 35 a 44 años",8103007,1.90933180128965
2020,"Chiapas","Mujeres","De 45 a 54 años",8103007,2.36832670800498
2019,"Chiapas","Mujeres","De 45 a 54 años",8103007,1.7733572786597802
2020,"Chiapas","Mujeres","De 55 a 59 años",8103007,0.581304947464337
