Year,Sexo (t-h-m-na),Residencia habitual fuera de México o no especificada,Value
1991,Mujeres,Estados Unidos de Norteamérica,0
1990,Mujeres,Estados Unidos de Norteamérica,2
2020,Mujeres,Países latinoamericanos,3
2019,Mujeres,Países latinoamericanos,0
2018,Mujeres,Países latinoamericanos,1
2017,Mujeres,Países latinoamericanos,1
2016,Mujeres,Países latinoamericanos,2
2015,Mujeres,Países latinoamericanos,5
2014,Mujeres,Países latinoamericanos,4
2013,Mujeres,Países latinoamericanos,0
2012,Mujeres,Países latinoamericanos,0
2011,Mujeres,Países latinoamericanos,1
2010,Mujeres,Países latinoamericanos,0
2009,Mujeres,Países latinoamericanos,0
2008,Mujeres,Países latinoamericanos,0
2007,Mujeres,Países latinoamericanos,1
2006,Mujeres,Países latinoamericanos,1
2005,Mujeres,Países latinoamericanos,2
2004,Mujeres,Países latinoamericanos,2
2003,Mujeres,Países latinoamericanos,3
2002,Mujeres,Países latinoamericanos,2
2001,Mujeres,Países latinoamericanos,4
2000,Mujeres,Países latinoamericanos,1
1999,Mujeres,Países latinoamericanos,2
1998,Mujeres,Países latinoamericanos,2
1997,Mujeres,Países latinoamericanos,1
1996,Mujeres,Países latinoamericanos,0
1995,Mujeres,Países latinoamericanos,0
1994,Mujeres,Países latinoamericanos,1
1993,Mujeres,Países latinoamericanos,0
1992,Mujeres,Países latinoamericanos,0
1991,Mujeres,Países latinoamericanos,0
1990,Mujeres,Países latinoamericanos,2
2020,Mujeres,Otros países,0
2019,Mujeres,Otros países,0
2018,Mujeres,Otros países,1
2017,Mujeres,Otros países,1
2016,Mujeres,Otros países,0
2015,Mujeres,Otros países,1
2014,Mujeres,Otros países,0
2013,Mujeres,Otros países,1
2012,Mujeres,Otros países,0
2011,Mujeres,Otros países,1
2010,Mujeres,Otros países,0
2009,Mujeres,Otros países,1
2008,Mujeres,Otros países,0
2007,Mujeres,Otros países,0
2006,Mujeres,Otros países,0
2005,Mujeres,Otros países,0
2004,Mujeres,Otros países,0
2003,Mujeres,Otros países,0
2002,Mujeres,Otros países,0
2001,Mujeres,Otros países,2
2000,Mujeres,Otros países,0
1999,Mujeres,Otros países,0
1998,Mujeres,Otros países,0
1997,Mujeres,Otros países,0
1996,Mujeres,Otros países,1
1995,Mujeres,Otros países,1
1994,Mujeres,Otros países,0
1993,Mujeres,Otros países,0
1992,Mujeres,Otros países,0
1991,Mujeres,Otros países,0
1990,Mujeres,Otros países,0
2020,Mujeres,No especificado,0
2019,Mujeres,No especificado,0
2018,Mujeres,No especificado,0
2017,Mujeres,No especificado,0
2016,Mujeres,No especificado,0
2015,Mujeres,No especificado,0
2014,Mujeres,No especificado,0
2013,Mujeres,No especificado,0
2012,Mujeres,No especificado,0
2011,Mujeres,No especificado,0
2010,Mujeres,No especificado,0
2009,Mujeres,No especificado,0
2008,Mujeres,No especificado,0
2007,Mujeres,No especificado,0
2006,Mujeres,No especificado,0
2005,Mujeres,No especificado,0
2004,Mujeres,No especificado,0
2003,Mujeres,No especificado,0
2002,Mujeres,No especificado,0
2001,Mujeres,No especificado,0
2000,Mujeres,No especificado,0
1999,Mujeres,No especificado,0
1998,Mujeres,No especificado,0
1997,Mujeres,No especificado,0
1996,Mujeres,No especificado,0
1995,Mujeres,No especificado,0
1994,Mujeres,No especificado,0
1993,Mujeres,No especificado,0
1992,Mujeres,No especificado,0
1991,Mujeres,No especificado,0
1990,Mujeres,No especificado,0
2020,No especificado,Estados Unidos de Norteamérica,154
2019,No especificado,Estados Unidos de Norteamérica,178
2018,No especificado,Estados Unidos de Norteamérica,328
2017,No especificado,Estados Unidos de Norteamérica,77
2016,No especificado,Estados Unidos de Norteamérica,0
2015,No especificado,Estados Unidos de Norteamérica,0
2014,No especificado,Estados Unidos de Norteamérica,0
2013,No especificado,Estados Unidos de Norteamérica,0
2012,No especificado,Estados Unidos de Norteamérica,0
2011,No especificado,Estados Unidos de Norteamérica,0
2010,No especificado,Estados Unidos de Norteamérica,0
2009,No especificado,Estados Unidos de Norteamérica,0
2008,No especificado,Estados Unidos de Norteamérica,0
2007,No especificado,Estados Unidos de Norteamérica,0
2006,No especificado,Estados Unidos de Norteamérica,0
2005,No especificado,Estados Unidos de Norteamérica,0
2004,No especificado,Estados Unidos de Norteamérica,0
2003,No especificado,Estados Unidos de Norteamérica,0
2002,No especificado,Estados Unidos de Norteamérica,0
2001,No especificado,Estados Unidos de Norteamérica,0
2000,No especificado,Estados Unidos de Norteamérica,0
1999,No especificado,Estados Unidos de Norteamérica,0
1998,No especificado,Estados Unidos de Norteamérica,0
1997,No especificado,Estados Unidos de Norteamérica,0
1996,No especificado,Estados Unidos de Norteamérica,0
1995,No especificado,Estados Unidos de Norteamérica,0
1994,No especificado,Estados Unidos de Norteamérica,0
1993,No especificado,Estados Unidos de Norteamérica,0
1992,No especificado,Estados Unidos de Norteamérica,0
1991,No especificado,Estados Unidos de Norteamérica,0
1990,No especificado,Estados Unidos de Norteamérica,0
2020,No especificado,Países latinoamericanos,131
2019,No especificado,Países latinoamericanos,151
2018,No especificado,Países latinoamericanos,280
2017,No especificado,Países latinoamericanos,71
2016,No especificado,Países latinoamericanos,0
2015,No especificado,Países latinoamericanos,0
2014,No especificado,Países latinoamericanos,0
2013,No especificado,Países latinoamericanos,0
2012,No especificado,Países latinoamericanos,0
2011,No especificado,Países latinoamericanos,0
2010,No especificado,Países latinoamericanos,0
2009,No especificado,Países latinoamericanos,0
2008,No especificado,Países latinoamericanos,0
2007,No especificado,Países latinoamericanos,0
2006,No especificado,Países latinoamericanos,0
2005,No especificado,Países latinoamericanos,0
2004,No especificado,Países latinoamericanos,0
2003,No especificado,Países latinoamericanos,0
2002,No especificado,Países latinoamericanos,0
2001,No especificado,Países latinoamericanos,0
2000,No especificado,Países latinoamericanos,0
1999,No especificado,Países latinoamericanos,0
1998,No especificado,Países latinoamericanos,0
1997,No especificado,Países latinoamericanos,0
1996,No especificado,Países latinoamericanos,0
1995,No especificado,Países latinoamericanos,0
1994,No especificado,Países latinoamericanos,0
1993,No especificado,Países latinoamericanos,0
1992,No especificado,Países latinoamericanos,0
1991,No especificado,Países latinoamericanos,0
1990,No especificado,Países latinoamericanos,0
2020,No especificado,Otros países,21
2019,No especificado,Otros países,23
2018,No especificado,Otros países,45
2017,No especificado,Otros países,4
2016,No especificado,Otros países,0
2015,No especificado,Otros países,0
2014,No especificado,Otros países,0
2013,No especificado,Otros países,0
2012,No especificado,Otros países,0
