Value,Disaggregation combinations using this value,Number of indicators
Mecayapan,8,2
Medellín de Bravo,8,2
Melchor Ocampo,24,2
Meoqui,8,2
Mesones Hidalgo,8,2
Metapa,8,2
Metepec,16,2
Metlatónoc,8,2
Metztitlán,8,2
Mexicali,8,2
Mexicaltzingo,8,2
Mexquitic de Carmona,8,2
Mexticacán,8,2
Mezcalapa,8,2
Mezquital del Oro,8,2
Mezquital,8,2
Mezquitic,8,2
Miacatlán,8,2
Miahuatlán de Porfirio Díaz,8,2
Miahuatlán,8,2
Mier y Noriega,8,2
Mier,8,2
Miguel Alemán,8,2
Miguel Auza,8,2
Miguel Hidalgo,8,2
Milpa Alta,8,2
Mina,8,2
Minatitlán,16,2
Mineral de la Reforma,8,2
Mineral del Chico,8,2
Mineral del Monte,8,2
Miquihuana,8,2
Misantla,8,2
Mitontic,8,2
Mixistlán de la Reforma,8,2
Mixquiahuala de Juárez,8,2
Mixtla de Altamirano,8,2
Mixtla,8,2
Mixtlán,8,2
Mochitlán,8,2
Mocochá,8,2
Mocorito,8,2
Moctezuma,16,2
Molango de Escamilla,8,2
Molcaxac,8,2
Moloacán,8,2
Momax,8,2
Monclova,8,2
Monjas,8,2
Monte Escobedo,8,2
Montecristo de Guerrero,8,2
Montemorelos,8,2
Monterrey,8,2
Morelia,8,2
Morelos,40,2
Moris,8,2
Moroleón,8,2
Motozintla,8,2
Motul,8,2
Moyahua de Estrada,8,2
Mulegé,8,2
Muna,8,2
Muxupip,8,2
Muñoz de Domingo Arenas,8,2
Mártir de Cuilapan,8,2
Mártires de Tacubaya,8,2
Méndez,8,2
Mérida,8,2
Múgica,8,2
Múzquiz,8,2
Nacajuca,8,2
Naco,8,2
Nacozari de García,8,2
Nadadores,8,2
Nahuatzen,8,2
Namiquipa,8,2
Nanacamilpa de Mariano Arista,8,2
Nanchital de Lázaro Cárdenas del Río,8,2
Naolinco,8,2
Naranjal,8,2
Naranjos Amatlán,8,2
Natividad,8,2
Natívitas,8,2
Naucalpan de Juárez,8,2
Naupan,8,2
Nautla,8,2
Nauzontla,8,2
Nava,8,2
Navojoa,8,2
Navolato,8,2
Nazareno Etla,8,2
Nazas,8,2
Nealtican,8,2
Nejapa de Madero,8,2
Nextlalpan,8,2
Nezahualcóyotl,8,2
Nicolás Bravo,8,2
Nicolás Flores,8,2
Nicolás Romero,8,2
Nicolás Ruíz,8,2
Nochistlán de Mejía,8,2
Nocupétaro,8,2
Nogales,16,2
Nombre de Dios,8,2
Nonoava,8,2
Nopala de Villagrán,8,2
Nopaltepec,8,2
Nopalucan,8,2
Noria de Ángeles,8,2
Nuevo Casas Grandes,8,2
Nuevo Ideal,8,2
Nuevo Laredo,8,2
Nuevo Morelos,8,2
Nuevo Parangaricutiro,8,2
Nuevo Urecho,8,2
Nuevo Zoquiápam,8,2
Numarán,8,2
Nácori Chico,8,2
Oaxaca de Juárez,8,2
Ocampo,48,2
Ocosingo,8,2
Ocotepec,16,2
Ocotlán de Morelos,8,2
Ocotlán,8,2
Ocoyoacac,8,2
Ocoyucan,8,2
Ocozocoautla de Espinosa,8,2
Ocuilan,8,2
Ocuituco,8,2
Ojinaga,8,2
Ojocaliente,8,2
Ojuelos de Jalisco,8,2
Olinalá,8,2
Olintla,8,2
Oluta,8,2
Omealca,8,2
Ometepec,8,2
Omitlán de Juárez,8,2
Onavas,8,2
Opichén,8,2
Opodepe,8,2
Oquitoa,8,2
Oriental,8,2
Orizaba,8,2
Ostuacán,8,2
Osumacinta,8,2
Otatitlán,8,2
Oteapan,8,2
Othón P. Blanco,8,2
Otumba,8,2
Otzoloapan,8,2
Otzolotepec,8,2
Otáez,8,2
Oxchuc,8,2
Oxkutzcab,8,2
Ozuluama de Mascareñas,8,2
Ozumba,8,2
Pabellón de Arteaga,8,2
Pachuca de Soto,8,2
Pacula,8,2
Padilla,8,2
Pahuatlán,8,2
Pajacuarán,8,2
Pajapan,8,2
Palenque,8,2
Palizada,8,2
Palmar de Bravo,8,2
Palmillas,8,2
Panabá,8,2
Panindícuaro,8,2
Panotla,8,2
Pantelhó,8,2
Pantepec,16,2
Papalotla de Xicohténcatl,8,2
Papalotla,8,2
Papantla,8,2
Paracho,8,2
Paraíso,8,2
Parras,8,2
Parácuaro,8,2
Parás,8,2
Paso de Ovejas,8,2
Paso del Macho,8,2
Pedro Ascencio Alquisiras,8,2
Pedro Escobedo,8,2
Penjamillo,8,2
Peribán,8,2
Perote,8,2
Pesquería,8,2
Petatlán,8,2
Petlalcingo,8,2
Peto,8,2
Peñamiller,8,2
Peñón Blanco,8,2
Piaxtla,8,2
Pichucalco,8,2
Piedras Negras,8,2
Pihuamo,8,2
Pijijiapan,8,2
Pilcaya,8,2
Pinal de Amoles,8,2
Pinos,8,2
Pinotepa de Don Luis,8,2
Pisaflores,8,2
Pitiquito,8,2
Platón Sánchez,8,2
Playa Vicente,8,2
Playas de Rosarito,8,2
Pluma Hidalgo,8,2
Poanas,8,2
Polotitlán,8,2
Poncitlán,8,2
Poza Rica de Hidalgo,8,2
Praxedis G. Guerrero,8,2
Progreso de Obregón,8,2
Progreso,16,2
Puebla,8,2
Pueblo Nuevo Solistahuacán,8,2
Pueblo Nuevo,16,2
Pueblo Viejo,8,2
Puente de Ixtla,8,2
Puente Nacional,8,2
Puerto Morelos,8,2
Puerto Peñasco,8,2
Puerto Vallarta,8,2
Pungarabato,8,2
Puruándiro,8,2
Purépero,8,2
Purísima del Rincón,8,2
Putla Villa de Guerrero,8,2
Pánuco de Coronado,8,2
Pánuco,16,2
