Value,Disaggregation combinations using this value,Number of indicators
Ixhuatlán del Sureste,3,3
Ixhuatán,3,3
Ixil,3,3
Ixmatlahuacan,3,3
Ixmiquilpan,3,3
Ixpantepec Nieves,3,3
Ixtacamaxtitlán,3,3
Ixtacomitán,3,3
Ixtacuixtla de Mariano Matamoros,3,3
Ixtaczoquitlán,3,3
Ixtapa,3,3
Ixtapaluca,3,3
Ixtapan de la Sal,3,3
Ixtapan del Oro,3,3
Ixtapangajoya,3,3
Ixtenco,3,3
Ixtepec,3,3
Ixtlahuaca,3,3
Ixtlahuacán de los Membrillos,3,3
Ixtlahuacán del Río,3,3
Ixtlahuacán,3,3
Ixtlán de Juárez,3,3
Ixtlán del Río,3,3
Ixtlán,3,3
Izamal,3,3
Iztacalco,3,3
Iztapalapa,3,3
Izúcar de Matamoros,3,3
Jacala de Ledezma,3,3
Jacona,3,3
Jala,3,3
Jalacingo,3,3
Jalapa,3,3
Jalcomulco,3,3
Jalostotitlán,3,3
Jalpa de Méndez,3,3
Jalpa,3,3
Jalpan de Serra,3,3
Jalpan,3,3
Jaltenco,3,3
Jaltocán,3,3
Jamapa,3,3
Jamay,3,3
Janos,3,3
Jantetelco,3,3
Jaral del Progreso,3,3
Jaumave,3,3
Jerez,3,3
Jerécuaro,3,3
Jesús Carranza,3,3
Jesús María,6,3
Jilotepec,6,3
Jilotlán de los Dolores,3,3
Jilotzingo,3,3
Jiménez del Teul,3,3
Jiménez,12,3
Jiquilpan,3,3
Jiquipilas,3,3
Jiquipilco,3,3
Jitotol,3,3
Jiutepec,3,3
Jocotepec,3,3
Jocotitlán,3,3
Jojutla,3,3
Jolalpan,3,3
Jonacatepec,3,3
Jonotla,3,3
Jonuta,3,3
Jopala,3,3
Joquicingo,3,3
José Azueta,3,3
José Joaquín de Herrera,3,3
José María Morelos,3,3
José Sixto Verduzco,3,3
Juan Aldama,3,3
Juan C. Bonilla,3,3
Juan Galindo,3,3
Juan N. Méndez,3,3
Juan R. Escudero,3,3
Juan Rodríguez Clara,3,3
Juanacatlán,3,3
Juchipila,3,3
Juchique de Ferrer,3,3
Juchitepec,3,3
Juchitlán,3,3
Juchitán,3,3
Julimes,3,3
Jungapeo,3,3
Juárez Hidalgo,3,3
Juárez,15,3
Jáltipan,3,3
Kanasín,3,3
Kantunil,3,3
Kaua,3,3
Kinchil,3,3
Kopomá,3,3
La Antigua,3,3
La Barca,3,3
La Colorada,3,3
La Compañía,3,3
La Concordia,3,3
La Cruz,3,3
La Grandeza,3,3
La Huacana,3,3
La Huerta,3,3
La Independencia,3,3
La Libertad,3,3
La Magdalena Contreras,3,3
La Magdalena Tlaltelulco,3,3
La Magdalena Tlatlauquitepec,3,3
La Manzanilla de la Paz,3,3
La Misión,3,3
La Paz,6,3
La Pe,3,3
La Perla,3,3
La Piedad,3,3
La Reforma,3,3
La Trinidad Vista Hermosa,3,3
La Trinitaria,3,3
La Unión de Isidoro Montes de Oca,3,3
La Yesca,3,3
Lafragua,3,3
Lagos de Moreno,3,3
Lagunillas,6,3
Lamadrid,3,3
Lampazos de Naranjo,3,3
Landa de Matamoros,3,3
Landero y Coss,3,3
Larráinzar,3,3
Las Choapas,3,3
Las Margaritas,3,3
Las Minas,3,3
Las Rosas,3,3
Las Vigas de Ramírez,3,3
Leonardo Bravo,3,3
Lerdo de Tejada,3,3
Lerdo,3,3
Lerma,3,3
León,3,3
Libres,3,3
Linares,3,3
Llera,3,3
Lolotla,3,3
Loma Bonita,3,3
Loreto,6,3
Los Aldamas,3,3
Los Cabos,3,3
Los Herreras,3,3
Los Ramones,3,3
Los Reyes de Juárez,3,3
Los Reyes,6,3
Luis Moya,3,3
Luvianos,3,3
Lázaro Cárdenas,9,3
López,3,3
Macuspana,3,3
Madera,3,3
Madero,3,3
Magdalena Apasco,3,3
Magdalena Jaltepec,3,3
Magdalena Mixtepec,3,3
Magdalena Ocotlán,3,3
Magdalena Peñasco,3,3
Magdalena Teitipac,3,3
Magdalena Tequisistlán,3,3
Magdalena Tlacotepec,3,3
Magdalena Yodocono de Porfirio Díaz,3,3
Magdalena Zahuatlán,3,3
Magdalena,9,3
Maguarichi,3,3
Mainero,3,3
Malinalco,3,3
Malinaltepec,3,3
Maltrata,3,3
Mama,3,3
Manlio Fabio Altamirano,3,3
Manuel Benavides,3,3
Manuel Doblado,3,3
Manzanillo,3,3
Maní,3,3
Mapastepec,3,3
Mapimí,3,3
Maravatío,3,3
Maravilla Tenejapa,3,3
Marcos Castellanos,3,3
Mariano Escobedo,3,3
Mariscala de Juárez,3,3
Marquelia,3,3
Marqués de Comillas,3,3
Martínez de la Torre,3,3
Marín,3,3
Mascota,3,3
Matachí,3,3
Matamoros,9,3
Matehuala,3,3
Matlapa,3,3
Matías Romero Avendaño,3,3
Maxcanú,3,3
Mayapán,3,3
Mazamitla,3,3
Mazapa de Madero,3,3
Mazapil,3,3
Mazapiltepec de Juárez,3,3
Mazatecochco de José María Morelos,3,3
Mazatepec,3,3
Mazatlán Villa de Flores,3,3
Mazatlán,3,3
Mazatán,6,3
Mecatlán,3,3
Mecayapan,3,3
Medellín de Bravo,3,3
Melchor Ocampo,9,3
Meoqui,3,3
Mesones Hidalgo,3,3
Metapa,3,3
Metepec,6,3
Metlatónoc,3,3
Metztitlán,3,3
Mexicali,3,3
Mexicaltzingo,3,3
Mexquitic de Carmona,3,3
Mexticacán,3,3
Mezcalapa,3,3
Mezquital del Oro,3,3
Mezquital,3,3
Mezquitic,3,3
Miacatlán,3,3
Miahuatlán de Porfirio Díaz,3,3
Miahuatlán,3,3
Mier y Noriega,3,3
Mier,3,3
Miguel Alemán,3,3
Miguel Auza,3,3
Miguel Hidalgo,3,3
Milpa Alta,3,3
Mina,3,3
Minatitlán,6,3
Mineral de la Reforma,3,3
Mineral del Chico,3,3
Mineral del Monte,3,3
Miquihuana,3,3
Misantla,3,3
Mitontic,3,3
Mixistlán de la Reforma,3,3
Mixquiahuala de Juárez,3,3
Mixtla de Altamirano,3,3
Mixtla,3,3
Mixtlán,3,3
Mochitlán,3,3
Mocochá,3,3
Mocorito,3,3
Moctezuma,6,3
Molango de Escamilla,3,3
Molcaxac,3,3
Moloacán,3,3
Momax,3,3
Monclova,3,3
Monjas,3,3
Monte Escobedo,3,3
Montecristo de Guerrero,3,3
Montemorelos,3,3
Monterrey,3,3
Morelia,3,3
Morelos,15,3
Moris,3,3
Moroleón,3,3
Motozintla,3,3
Motul,3,3
Moyahua de Estrada,3,3
Mulegé,3,3
Muna,3,3
Muxupip,3,3
Muñoz de Domingo Arenas,3,3
Mártir de Cuilapan,3,3
Mártires de Tacubaya,3,3
Méndez,3,3
Mérida,3,3
Múgica,3,3
Múzquiz,3,3
Nacajuca,3,3
Naco,3,3
Nacozari de García,3,3
Nadadores,3,3
Nahuatzen,3,3
Namiquipa,3,3
Nanacamilpa de Mariano Arista,3,3
Nanchital de Lázaro Cárdenas del Río,3,3
Naolinco,3,3
Naranjal,3,3
Naranjos Amatlán,3,3
Natividad,3,3
Natívitas,3,3
Naucalpan de Juárez,3,3
Naupan,3,3
Nautla,3,3
Nauzontla,3,3
Nava,3,3
Navojoa,3,3
Navolato,3,3
Nazareno Etla,3,3
Nazas,3,3
Nealtican,3,3
Nejapa de Madero,3,3
Nextlalpan,3,3
Nezahualcóyotl,3,3
Nicolás Bravo,3,3
Nicolás Flores,3,3
Nicolás Romero,3,3
Nicolás Ruíz,3,3
Nochistlán de Mejía,3,3
Nocupétaro,3,3
Nogales,6,3
Nombre de Dios,3,3
Nonoava,3,3
Nopala de Villagrán,3,3
Nopaltepec,3,3
Nopalucan,3,3
Noria de Ángeles,3,3
Nuevo Casas Grandes,3,3
Nuevo Ideal,3,3
Nuevo Laredo,3,3
Nuevo Morelos,3,3
Nuevo Parangaricutiro,3,3
Nuevo Urecho,3,3
Nuevo Zoquiápam,3,3
Numarán,3,3
Nácori Chico,3,3
Oaxaca de Juárez,3,3
Ocampo,18,3
Ocosingo,3,3
Ocotepec,6,3
Ocotlán de Morelos,3,3
Ocotlán,3,3
Ocoyoacac,3,3
Ocoyucan,3,3
Ocozocoautla de Espinosa,3,3
Ocuilan,3,3
Ocuituco,3,3
Ojinaga,3,3
Ojocaliente,3,3
Ojuelos de Jalisco,3,3
Olinalá,3,3
Olintla,3,3
Oluta,3,3
Omealca,3,3
Ometepec,3,3
Omitlán de Juárez,3,3
Onavas,3,3
Opichén,3,3
Opodepe,3,3
Oquitoa,3,3
Oriental,3,3
Orizaba,3,3
Ostuacán,3,3
Osumacinta,3,3
Otatitlán,3,3
Oteapan,3,3
Othón P. Blanco,3,3
Otumba,3,3
Otzoloapan,3,3
Otzolotepec,3,3
Otáez,3,3
Oxchuc,3,3
Oxkutzcab,3,3
Ozuluama de Mascareñas,3,3
Ozumba,3,3
Pabellón de Arteaga,3,3
Pachuca de Soto,3,3
Pacula,3,3
Padilla,3,3
Pahuatlán,3,3
Pajacuarán,3,3
Pajapan,3,3
Palenque,3,3
Palizada,3,3
Palmar de Bravo,3,3
Palmillas,3,3
Panabá,3,3
Panindícuaro,3,3
Panotla,3,3
Pantelhó,3,3
Pantepec,6,3
Papalotla de Xicohténcatl,3,3
Papalotla,3,3
Papantla,3,3
Paracho,3,3
Paraíso,3,3
Parras,3,3
Parácuaro,3,3
Parás,3,3
Paso de Ovejas,3,3
Paso del Macho,3,3
Pedro Ascencio Alquisiras,3,3
Pedro Escobedo,3,3
Penjamillo,3,3
Peribán,3,3
Perote,3,3
Pesquería,3,3
Petatlán,3,3
Petlalcingo,3,3
Peto,3,3
Peñamiller,3,3
Peñón Blanco,3,3
Piaxtla,3,3
Pichucalco,3,3
Piedras Negras,3,3
Pihuamo,3,3
Pijijiapan,3,3
Pilcaya,3,3
Pinal de Amoles,3,3
Pinos,3,3
Pinotepa de Don Luis,3,3
Pisaflores,3,3
Pitiquito,3,3
Platón Sánchez,3,3
Playa Vicente,3,3
Playas de Rosarito,3,3
Pluma Hidalgo,3,3
Poanas,3,3
Polotitlán,3,3
Poncitlán,3,3
Poza Rica de Hidalgo,3,3
Praxedis G. Guerrero,3,3
Progreso de Obregón,3,3
Progreso,6,3
Puebla,3,3
Pueblo Nuevo Solistahuacán,3,3
Pueblo Nuevo,6,3
Pueblo Viejo,3,3
Puente de Ixtla,3,3
Puente Nacional,3,3
Puerto Morelos,3,3
Puerto Peñasco,3,3
Puerto Vallarta,3,3
Pungarabato,3,3
Puruándiro,3,3
