Year,Entidad federativa,Municipio,GeoCode,Value
2018,Tamaulipas,,28,75.59231172
2017,Tamaulipas,,28,72.44458709
2016,Tamaulipas,,28,70.97073599
2015,Tamaulipas,,28,
2021 P/,Tamaulipas,Heroica Matamoros,280220001,
2020,Tamaulipas,Heroica Matamoros,280220001,
2019,Tamaulipas,Heroica Matamoros,280220001,
2018,Tamaulipas,Heroica Matamoros,280220001,75.63112579
2017,Tamaulipas,Heroica Matamoros,280220001,72.80391329
2016,Tamaulipas,Heroica Matamoros,280220001,69.30949294
2015,Tamaulipas,Heroica Matamoros,280220001,
2021 P/,Tamaulipas,Nuevo Laredo,280270001,
2020,Tamaulipas,Nuevo Laredo,280270001,
2019,Tamaulipas,Nuevo Laredo,280270001,
2018,Tamaulipas,Nuevo Laredo,280270001,80.1800164
2017,Tamaulipas,Nuevo Laredo,280270001,76.3933506
2016,Tamaulipas,Nuevo Laredo,280270001,72.24965477
2015,Tamaulipas,Nuevo Laredo,280270001,
2021 P/,Tamaulipas,Reynosa,280320001,
2020,Tamaulipas,Reynosa,280320001,
2019,Tamaulipas,Reynosa,280320001,
2018,Tamaulipas,Reynosa,280320001,77.9493905
2017,Tamaulipas,Reynosa,280320001,78.25058367
2016,Tamaulipas,Reynosa,280320001,77.45849774
2015,Tamaulipas,Reynosa,280320001,72.84459797
2021 P/,Tamaulipas,Tampico,280380001,81.07547142
2020,Tamaulipas,Tampico,280380001,84.18148059
2019,Tamaulipas,Tampico,280380001,
2018,Tamaulipas,Tampico,280380001,74.80933172
2017,Tamaulipas,Tampico,280380001,71.64977156
2016,Tamaulipas,Tampico,280380001,68.42918281
2015,Tamaulipas,Tampico,280380001,64.0511654
2021 P/,Tlaxcala,,29,
2020,Tlaxcala,,29,
2019,Tlaxcala,,29,
2018,Tlaxcala,,29,68.45097579
2017,Tlaxcala,,29,61.9480166
2016,Tlaxcala,,29,57.84725365
2015,Tlaxcala,,29,61.72968844
2021 P/,Tlaxcala,Tlaxcala,290330001,73.69545913
2020,Tlaxcala,Tlaxcala,290330001,73.23297958
2019,Tlaxcala,Tlaxcala,290330001,
2018,Tlaxcala,Tlaxcala,290330001,61.4049331
2017,Tlaxcala,Tlaxcala,290330001,57.97040319
2016,Tlaxcala,Tlaxcala,290330001,55.04040714
2015,Tlaxcala,Tlaxcala,290330001,53.4766987
2021 P/,Veracruz de Ignacio de la Llave,,30,
2020,Veracruz de Ignacio de la Llave,,30,
2019,Veracruz de Ignacio de la Llave,,30,
2018,Veracruz de Ignacio de la Llave,,30,74.28846329
2017,Veracruz de Ignacio de la Llave,,30,72.38874874
2016,Veracruz de Ignacio de la Llave,,30,67.56796513
2015,Veracruz de Ignacio de la Llave,,30,
2021 P/,Veracruz de Ignacio de la Llave,Coatzacoalcos,300390001,
2020,Veracruz de Ignacio de la Llave,Coatzacoalcos,300390001,
